E,N,Q,b,c,failures,independent_board,inst_reputations,num_trials,output,permitted_strategies,q,rep,reputation_norm,reputations,run_type,runs_per_trial,seed1,seed2,seed3,seed4,successes,u_a,u_p,u_s,w
0.0,50,1,5.0,1.0,100,true,0.5098,10,output/fixation_paper_multitype_final.csv,123,0.1,4,stern judging,0.503176,equal,100,2477149355,278142066,2804006621,1852461561,0,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,100,true,0.7071999999999999,10,output/fixation_paper_multitype_final.csv,123,0.1,10,stern judging,0.5019359999999999,equal,100,2336006514,3752603071,2529599412,1996639270,0,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,97,true,0.5124000000000001,10,output/fixation_paper_multitype_final.csv,123,0.1,1,stern judging,0.502968,equal,100,2821442250,4195959136,4242954019,518784204,3,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,100,true,0.7158,10,output/fixation_paper_multitype_final.csv,123,0.1,9,stern judging,0.503712,equal,100,3443368381,1561117600,2015447883,1325741548,0,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,98,true,0.7164,10,output/fixation_paper_multitype_final.csv,123,0.1,1,stern judging,0.5022719999999999,equal,100,3980614795,437318025,8057705,1281548053,2,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,100,true,0.7185999999999999,10,output/fixation_paper_multitype_final.csv,123,0.1,4,stern judging,0.5038719999999999,equal,100,2718039288,4029003726,839009843,4071681473,0,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,97,true,0.4932,10,output/fixation_paper_multitype_final.csv,123,0.1,3,stern judging,0.505636,equal,100,3687805086,2491352305,2508920711,1587003306,3,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,99,true,0.7092,10,output/fixation_paper_multitype_final.csv,123,0.1,7,stern judging,0.5018959999999999,equal,100,399641176,557968366,3773737824,3917458191,1,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,97,true,0.4972000000000001,10,output/fixation_paper_multitype_final.csv,123,0.1,10,stern judging,0.503012,equal,100,1574056052,1523565866,659764183,481937497,3,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,100,true,0.7104,10,output/fixation_paper_multitype_final.csv,123,0.1,2,stern judging,0.50122,equal,100,406340876,3346694229,2043245436,1876482308,0,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,99,true,0.7176,10,output/fixation_paper_multitype_final.csv,123,0.1,8,stern judging,0.50204,equal,100,1782424626,2179447094,1664771370,1727639570,1,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,99,true,0.7173999999999998,10,output/fixation_paper_multitype_final.csv,123,0.1,6,stern judging,0.503776,equal,100,2965422559,837590782,1359513328,3067387169,1,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,98,true,0.6984,10,output/fixation_paper_multitype_final.csv,123,0.1,3,stern judging,0.50418,equal,100,3930515362,2526275110,2434496757,2381245198,2,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,97,true,0.5074000000000001,10,output/fixation_paper_multitype_final.csv,123,0.1,7,stern judging,0.503764,equal,100,3838909624,564176415,3404334542,3104513964,3,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,100,true,0.725,10,output/fixation_paper_multitype_final.csv,123,0.1,5,stern judging,0.5022719999999999,equal,100,3913986588,977968592,2019197571,1643815262,0,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,97,true,0.5064,10,output/fixation_paper_multitype_final.csv,123,0.1,9,stern judging,0.5040959999999999,equal,100,2318692008,4249821368,2023146472,1954785734,3,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,98,true,0.5018,10,output/fixation_paper_multitype_final.csv,123,0.1,6,stern judging,0.50298,equal,100,1444308036,406261271,3142077794,3802135029,2,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,96,true,0.5018,10,output/fixation_paper_multitype_final.csv,123,0.1,2,stern judging,0.5026319999999999,equal,100,1325850089,2563225146,863079681,3760565333,4,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,95,true,0.48999999999999994,10,output/fixation_paper_multitype_final.csv,123,0.1,8,stern judging,0.5028920000000001,equal,100,3094271954,160937628,2738019839,3892085964,5,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,93,true,0.4988,10,output/fixation_paper_multitype_final.csv,123,0.1,5,stern judging,0.5029999999999999,equal,100,3130660469,323596522,3065684426,1347038019,7,0.02,0.02,0.0,1.0
0.0,50,50,5.0,1.0,100,true,0.9998,10,output/fixation_paper_multitype_final.csv,123,0.1,2,stern judging,0.5026600000000001,equal,100,2770752872,3107064049,3033966239,3494993234,0,0.02,0.02,0.0,1.0
0.0,50,50,5.0,1.0,100,true,1.0,10,output/fixation_paper_multitype_final.csv,123,0.1,8,stern judging,0.502832,equal,100,825057441,1004074019,804270345,1813579453,0,0.02,0.02,0.0,1.0
0.0,50,50,5.0,1.0,100,true,1.0,10,output/fixation_paper_multitype_final.csv,123,0.1,10,stern judging,0.5021280000000001,equal,100,39710085,266441375,2016258181,2193240693,0,0.02,0.02,0.0,1.0
0.0,50,50,5.0,1.0,100,true,1.0,10,output/fixation_paper_multitype_final.csv,123,0.1,6,stern judging,0.501556,equal,100,467487861,1064087524,2404373149,4052207910,0,0.02,0.02,0.0,1.0
0.0,50,50,5.0,1.0,100,true,1.0,10,output/fixation_paper_multitype_final.csv,123,0.1,7,stern judging,0.5023399999999999,equal,100,593229261,3623961819,4069151275,3494409329,0,0.02,0.02,0.0,1.0
0.0,50,50,5.0,1.0,100,true,1.0,10,output/fixation_paper_multitype_final.csv,123,0.1,4,stern judging,0.503388,equal,100,3130845861,1564334926,2150181349,366305227,0,0.02,0.02,0.0,1.0
0.0,50,50,5.0,1.0,100,true,1.0,10,output/fixation_paper_multitype_final.csv,123,0.1,5,stern judging,0.5038759999999999,equal,100,3413588362,3410276037,988999357,1092160006,0,0.02,0.02,0.0,1.0
0.0,50,50,5.0,1.0,100,true,1.0,10,output/fixation_paper_multitype_final.csv,123,0.1,9,stern judging,0.500624,equal,100,3501276496,1916308487,2884299057,212405882,0,0.02,0.02,0.0,1.0
0.0,50,50,5.0,1.0,100,true,1.0,10,output/fixation_paper_multitype_final.csv,123,0.1,1,stern judging,0.5033719999999999,equal,100,2394741560,155481102,1675257903,1125662500,0,0.02,0.02,0.0,1.0
0.0,50,50,5.0,1.0,100,true,1.0,10,output/fixation_paper_multitype_final.csv,123,0.1,3,stern judging,0.502116,equal,100,1165085912,2793248193,1782232896,3680929680,0,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,100,true,0.9486,10,output/fixation_paper_multitype_final.csv,123,0.1,8,stern judging,0.5036080000000001,AllC,100,2965422559,837590782,1359513328,3067387169,0,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,80,true,0.48519999999999996,10,output/fixation_paper_multitype_final.csv,123,0.1,2,stern judging,0.5039560000000001,AllC,100,2925611719,757611393,3082452714,244896182,20,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,87,true,0.5064,10,output/fixation_paper_multitype_final.csv,123,0.1,6,stern judging,0.501768,AllC,100,2975585007,2510377535,2000219535,115323781,13,0.02,0.02,0.0,1.0
